tx,timestamp,block,output_amount0,output_amount1,output_liquidity,params
0x76d02449791180701de531be056455e4307b23fb9b5909c1ccabe617289539ee,2023-04-05 01:53:43.000 UTC,2.7071462e+07,425729030359223484,23887303652834582035,203846303178145898607,"{""tokenId"":7714,""amount0Desired"":425729030359223484,""amount1Desired"":23887303652834582035,""amount0Min"":424662582465104780,""amount1Min"":23789897961200467042,""deadline"":1680660814}"
0xafcfdf55aabacc08c2ca685ed6b59219b5d1f6b461e5c40bd491829fdae967db,2023-04-05 01:55:07.000 UTC,2.707149e+07,1804609972394621287828,1177358258021711535063,1624891749456310849769457,"{""tokenId"":7464,""amount0Desired"":1804609972394621287828,""amount1Desired"":1177358258021711535063,""amount0Min"":1378817620943729907111,""amount1Min"":0,""deadline"":1680660895}"
0x78880d51b6f6a6d735b6dc365482f41acc0ec49389ccdfcbd541bb4abd0b6bc9,2023-04-05 01:55:22.000 UTC,2.7071495e+07,1257854667768949807,1208610395164226738,607716878219205852328,"{""tokenId"":7322,""amount0Desired"":1257854667768949807,""amount1Desired"":1208610395164226738,""amount0Min"":464517957160306798,""amount1Min"":0,""deadline"":1680661024}"
0x35537f04dfbdbae7f301c09574eeb1f9f463a5713253076b99c6829813ddf5ad,2023-04-05 01:55:13.000 UTC,2.7071492e+07,487827108530298218226,1528984206008621458,2441539894358068926615,"{""tokenId"":7725,""amount0Desired"":490031275626517354481,""amount1Desired"":1528984206008621458,""amount0Min"":382186297754800246162,""amount1Min"":1182801531911084460,""deadline"":1680660871}"
0x6254fc0f3241ac8b12176766aed392b7fb5fbd3d3d3bf6557202f3122eab5b4c,2023-04-05 01:55:28.000 UTC,2.7071497e+07,81523572773248286,4573363057510832896,39032089977766319455,"{""tokenId"":7714,""amount0Desired"":81523572773248286,""amount1Desired"":4574220217154024794,""amount0Min"":80502799403400713,""amount1Min"":4480948984414686957,""deadline"":1680660910}"
0x412e3d8bf56474e3c4b6d29d680a7b95c3da3c031532544458704c9b65e7f88b,2023-04-05 01:57:37.000 UTC,2.707154e+07,14864584034349520856,81045903702723458,2274839158692104262597,"{""tokenId"":7650,""amount0Desired"":14864584034349520856,""amount1Desired"":82140129822198774,""amount0Min"":0,""amount1Min"":0,""deadline"":1680661045}"
0xf45450194da9d0f83176e77b2d2f8470729fc274d1ac70893f6da915e0e8eb35,2023-04-05 01:58:01.000 UTC,2.7071548e+07,9709097976028087269,31294280643683434495,62373194822012542303,"{""tokenId"":454,""amount0Desired"":9709097976028087269,""amount1Desired"":31294280643683434495,""amount0Min"":9627619648822078667,""amount1Min"":30996598422591115886,""deadline"":1680661066}"
0x736fe682aa95067f1b0bec224003a8e8ffdbb8ce72e6124d78bffd7aa08811fc,2023-04-05 01:58:55.000 UTC,2.7071566e+07,716317767020623097494,2508419458325504391,21239274408958000930272,"{""tokenId"":7740,""amount0Desired"":716317767020623097494,""amount1Desired"":2542170601778088358,""amount0Min"":0,""amount1Min"":0,""deadline"":1680661105}"
0xd4de3f0751e89bd19d218e3e60bfd2036c0505e46dcf932c58a349f6c5d5a151,2023-04-05 02:00:31.000 UTC,2.7071598e+07,54804780997066297546,16427336937677030963,22671641425797916115966,"{""tokenId"":7333,""amount0Desired"":54804780997066297546,""amount1Desired"":16427336937677030963,""amount0Min"":25188734814731934668,""amount1Min"":0,""deadline"":1680661336}"
0x235891a0bb967ed70abb63cb72813ede8c44eb8a19ca6489772f45a32db37107,2023-04-05 02:04:01.000 UTC,2.7071668e+07,111000000000000000000,410854226551585701300,802968661563001783212350,"{""tokenId"":7752,""amount0Desired"":111000000000000000000,""amount1Desired"":410856069676336419768,""amount0Min"":0,""amount1Min"":0,""deadline"":1680661432}"
0x421e7d28f09cc211c4b9c22409bf7f1468aeeb05b63c8d8c417346aca0ced1d2,2023-04-05 02:11:35.000 UTC,2.7071818e+07,490400669305788465230,1058839729494464811,23234894489119171955563,"{""tokenId"":7689,""amount0Desired"":490400669305788465230,""amount1Desired"":1093396581795520386,""amount0Min"":469558641250675750891,""amount1Min"":1026925969125056938,""deadline"":1680661861}"
0x6e860c78ad53d6e3c94742235d30a33e22b0eca2e8f3c91f3443bfdba1415e68,2023-04-05 02:13:41.000 UTC,2.707186e+07,2023396985499963730751,3721691966337234319,120157108053487116918557,"{""tokenId"":7788,""amount0Desired"":2038124783297937458398,""amount1Desired"":3721691966337234319,""amount0Min"":969831143323855839486,""amount1Min"":313446287730803550,""deadline"":1680660932}"
0x30e5c7d7cae175aa9d813a2ef9a1161ef54a5ad380a4a5465470d8c3aa0d9802,2023-04-05 02:13:14.000 UTC,2.7071851e+07,30534672412605952223,134660968320639214848,8622425143461012274813,"{""tokenId"":7777,""amount0Desired"":30927339153627732215,""amount1Desired"":134660968320639214848,""amount0Min"":19601704189883384665,""amount1Min"":93258185094444718997,""deadline"":1680661976}"
0x432862ba9db9c760a9806278a5a5206c94915a16b6b6db687ce77ae7f785274c,2023-04-05 02:14:47.000 UTC,2.7071882e+07,0,424380857003622951237,24030523178059677645839,"{""tokenId"":280,""amount0Desired"":0,""amount1Desired"":424380857003622951237,""amount0Min"":0,""amount1Min"":424380857003622951237,""deadline"":1680662069}"
